ATA,ICAO,Airline,Call sign,Country/Region
0A,GNT,Amber Air,GINTA,Lithuania
0B,BMS,Blue Air,BLUE MESSENGER,Romania
0C,IBL,IBL Aviation,CATOVAIR,Mauritius
0D,DWT,Darwin Airline,DARWIN,Switzerland
0J,JCS,Jetclub,JETCLUB,Switzerland
0V,VFC,Vietnam Air Services Company (VASCO),VASCO AIR,Vietnam
1A,AGT,Amadeus IT Group,AMADEUS,Spain
1B,,Abacus International,,Singapore
1C,,Electronic Data Systems,,Switzerland
1D,,Radixx,,United States
1E,,Travelsky Technology,,China
1F,,INFINI Travel Information,,Japan
1G,,Galileo International,,United States
1H,,Siren-Travel,,Russia
1I,AMB,Deutsche Rettungsflugwacht,CIVIL AIR AMBULANCE,Germany
1I,EJA,NetJets,EXECJET,United States
1I,NVR,Novair,NAVIGATOR,Sweden
1I,NJE,NetJets Europe,FRACTION,Portugal
1I,,Pegasus Hava Tasimaciligi,Sunturk,Turkey
1I,,Sierra Nevada Airlines,,United States
1I,PZR,Sky Trek International Airlines,PHAZER,United States
1K,,Southern Cross Distribution,,Australia
1K,,Sutra,,United States
1L,OSY,Open Skies Consultative Commission,OPEN SKIES,United States
1M,,JSC Transport Automated Information Systems,,Russia
1N,,Navitaire,,United States
1P,,Worldspan,,United States
1Q,,Sirena,,Russia
1R,,Hainan Phoenix Information Systems,,China
1S,,Sabre,,United States
1T,,Hitit Computer Services,,Turkey
1T,BUC,Bulgarian Air Charter,BULGARIAN CHARTER,Bulgaria
1U,,ITA Software,,United States
1U,,Polyot Sirena,,Russia
1Y,,Electronic Data Systems,,United States
1Z,APD,Sabre Pacific,,Australia
2A,,Deutsche Bahn,,Germany
2B,ARD,Aerocondor,AEROCONDOR,Portugal
2C,,SNCF,,France
2D,AOG,Aero VIP,AVIP,Argentina
2F,FTA,Frontier Flying Service,FRONTIER-AIR,United States
2G,CRG,Cargoitalia,WHITE PELICAN,Italy
2G*,MRR,San Juan Airlines,MARINER,United States
2H,,Thalys,,Belgium
2J,VBW,Air Burkina,BURKINA,Burkina Faso
2K,GLG,Aerogal,AEROGAL,Ecuador
2L,OAW,Helvetic Airways,HELVETIC,Switzerland
2M,MDV,Moldavian Airlines,MOLDAVIAN,Moldova
2N,NTJ,NextJet,NEXTJET,Sweden
2N,UMK,Yuzhmashavia,YUZMASH,Ukraine
2O,RNE,Air Salone,AIR SALONE,Sierra Leone
2P,GAP,Air Philippines,ORIENT PACIFIC,Philippines
2Q,SNC,Air Cargo Carriers,NIGHT CARGO,United States
2R,,Via Rail Canada,,Canada
2S,SDY,Island Express,SANDY ISLE,United States
2S,,Star Equatorial Airlines,,Guinea
2S,TGR,Satgur Air Transport,SATGURAIR,Liberia
2T,HAM,Haiti Ambassador Airlines,,Haiti
2U,GIP,Air Guinee Express,FUTURE EXPRESS,Guinea
2V*,,Amtrak,,United States
2W,WLC,Welcome Air,WELCOMEAIR,Austria
2Z,CGN,Chang An Airlines,CHANGAN,China
3C,CMV,Calima Aviación,CALIMA,Spain
3C,CEA,RegionsAir,CORP-X,United States
3G,AYZ,Atlant-Soyuz Airlines,ATLANT-SOYUZ,Russia
3J,AAQ,Air Alliance,LIAISON,Canada
3J,WZP,Zip,ZIPPER,Canada
3K,JSA,Jetstar Asia Airways,JETSTAR ASIA,Singapore
3L,ISK,Intersky,INTERSKY,Austria
3N,URG,Air Urga,URGA,Ukraine
3O,MAC,Air Arabia Maroc,ARABIA MAROC,Morocco
3P,TNM,Tiara Air,TIARA,Aruba
3Q,CYH,China Yunnan Airlines,YUNNAN,China
3R,GAI,Moskovia Airlines,GROMOV AIRLINE,Russia
3S,BOX,Aerologic,GERMAN CARGO,Germany
3S,GUY,Air Guyane Express,GREEN BIRD,French Guyana
3S*,AEN,Aeroland Airways,,Greece
3T,URN,Turan Air,TURAN,Azerbaijan
3U,CSC,Sichuan Airlines,SI CHUAN,China
3V,TAY,TNT Airways,QUALITY,Belgium
3W,EMX,Euromanx Airways,EUROMANX,Austria
3W*,VNR,Wan Air,WANAIR,French Polynesia
3X,JAC,Japan Air Commuter,COMMUTER,Japan
4A,AKL,Air Kiribati,,Kiribati
4C,ARE,"Aires, Aerovías de Integración Regional, S.A.",AIRES,Colombia
4D,ASD,Air Sinai,AIR SINAI,Egypt
4F,ECE,Air City,AIRCITY,Germany
4G,GZP,Gazpromavia,GAZPROMAVIA,Russia
4G*,,Advance Leasing Company,,United States
4H,UBD,United Airways,UNITED BANGLADESH,Bangladesh
4K*,AAS,Askari Aviation,AL-ASS,Pakistan
4M,DSM,LATAM Argentina,LAN AR,Argentina
4N,ANT,Air North Charter - Canada,AIR NORTH,Canada
4O,AIJ,Interjet,ABC Aerolineas,Mexico
4R,HHI,Hamburg International,HAMBURG JET,Germany
4S,FNC,Finalair Congo,FINALAIR CONGO,Republic of the Congo
4T,BHP,Belair Airlines,BELAIR,Switzerland
4U,GWI,Germanwings,GERMAN WINGS,Germany
4Y,AIB,Airbus Industrie,AIRBUS INDUSTRIE,France
4Y,BGA,Airbus Transport International,BELUGA,France
4Y,RBU,Airbus France,AIRBUS FRANCE,France
4Y,UYA,Yute Air Alaska,,United States
5A,AIP,Alpine Air Express,ALPINE AIR,United States
5C,ICL,CAL Cargo Air Lines,CAL,Israel
5D,SLI,Aeroméxico Connect,COSTERA,Mexico
5D,UDC,DonbassAero,DONBASS AERO,Ukraine
5F,CIR,Arctic Circle Air Service,AIR ARCTIC,United States
5F,FIA,Fly One,Fly One,Moldova
5G,SSV,Skyservice Airlines,SKYTOUR,Canada
5J,CEB,Cebu Pacific,CEBU,Philippines
5K,HFY,Hi Fly,SKY FLYER,Portugal
5L,RSU,AeroSur,AEROSUR,Bolivia
5M,MNT,Montserrat Airways,MONTSERRAT,Montserrat
5M,SIB,Sibaviatrans,SIBAVIA,Russia
5N,AUL,Nordavia,ARCHANGELSK AIR,Russia
5O,FPO,Europe Airpost,FRENCH POST,France
5P,LLX,Small Planet Airlines,GERMANJET,Germany
5T,MPE,Canadian North,EMPRESS,Canada
5V,UKW,Lviv Airlines,UKRAINE WEST,Ukraine
5W,AEU,Astraeus,FLYSTAR,United Kingdom
5X,UPS,United Parcel Service,UPS,United States
5Y,GTI,Atlas Air,GIANT,United States
5Z,AFX,Airfreight Express,,United Kingdom
5Z,BML,Bismillah Airlines,BISMILLAH,Bangladesh
5Z,KEM,CemAir,CEMAIR,South Africa
5Z,GON,Gonini Air Services,GONINI,Suriname
6A,CHP,Aviacsa,AVIACSA,Mexico
6B,BLX,TUIfly Nordic,BLUESCAN,Sweden
6E,IGO,IndiGo Airlines,IFLY,India
6G,AWW,Air Wales,RED DRAGON,United Kingdom
6H,ISR,Israir,ISRAIR,Israel
6I,IBZ,International Business Air,INTERBIZ,Sweden
6J,JUB,Jubba Airways,JUBBA,Somalia
6J,SNJ,Skynet Asia Airways,NEWSKY,Japan
6K,RIT,Asian Spirit,ASIAN SPIRIT,Philippines
6N,NIN,Niger Airlines,NIGER AIRLINES,Niger
6N,NRD,Nordic Regional,NORTH RIDER,Sweden
6P,ISG,Club Air,CLUBAIR,Italy
6Q,SLL,Slovak Airlines,SLOV LINE,Slovakia
6R,DRU,Alrosa Air Company,MIRNY,Russia
6U,ACX,Air Cargo Germany,LOADMASTER,Germany
6U,UKR,Air Ukraine,AIR UKRAINE,Ukraine
6V,VGA,Air Vegas,AIR VEGAS,United States
6V,AXY,Axis Airways,AXIS,France
6V,MRW,Mars RK,AVIAMARS,Ukraine
6W,SOV,Saratov Airlines Joint Stock Company,SARATOV AIR,Russia
6Y,ART,Smartlynx Airlines,SMART LYNX,Latvia
6Z,UKS,Ukrainian Cargo Airways,CARGOTRANS,Ukraine
7A,XRC,Express Air Cargo,,Tunisia
7A,AZY,Aztec Worldwide Airlines,AZTEC WORLD,United States
7A,XRC,Express Air Cargo,TUNISIA CARGO,Tunisia
7B,KJC,Krasnojarsky Airlines,KRASNOJARSKY AIR,Russia
7C,COY,Coyne Aviation,COYNE AIR,United Kingdom
7C,JJA,Jeju Air,JEJU AIR,Republic of Korea
7E,AWU,Sylt Air GmbH,SYLT-AIR,Germany
7F,FAB,First Air,FIRST AIR,Canada
7G,SFJ,Star Flyer,STARFLYER,Japan
7K,KGL,Kogalymavia Air Company,KOGALYM,Russia
7L,AZG,Silk Way West Airlines,SILK WEST,Azerbaijan
7L,ERO,Sun D'Or,ECHO ROMEO,Israel
7M,MYI,Mayair,MAYAIR,Mexico
7N,PWD,Pawa Dominicana,Pawa Dominicana,Dominican Republic
